STATE,ACTION,,,,GOTO,,
,command,mode,param,$,S,Sentence,Plist
0,shift 4,shift 5,shift 6,reduce 8,1,2,3
1,,,,accept,,,
2,,,,reduce 2,,,
3,,,,reduce 6,,,
4,,shift 8,shift 6,reduce 8,,,7
5,,,shift 6,reduce 8,,,9
6,,,shift 6,reduce 8,,,10
7,,,,reduce 4,,,
8,,,shift 6,reduce 8,,,11
9,,,,reduce 5,,,
10,,,,reduce 7,,,
11,,,,reduce 3,,,
